Location_Code,latitude,longitude,depth,SampleID,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium_spp,Cochlodinium_spp,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton,station
SIO,32.867,-117.257,,20080630,2008-06-30T15:00:00Z,19.8,,,100.0,1.81,1.83,1.82,0.59,0.61,0.6,0.24,5.6,0.03,,0.53,0.43,200.0,0.0,,,,0.0,0.0,178.0,89.0,5168.0,9535.0,535.0,,0.0,0.0,59882.0,10249.0,85636.0,scripps_pier
SIO,32.867,-117.257,,20080707,2008-07-07T15:00:00Z,17.3,,,100.0,2.68,2.73,2.71,1.24,1.12,1.18,0.37,5.1,0.04,,1.06,0.83,200.0,0.0,,,,89.0,0.0,0.0,89.0,1158.0,61487.0,178.0,,0.0,624.0,105864.0,3743.0,173233.0,scripps_pier
SIO,32.867,-117.257,,20080714,2008-07-14T14:54:00Z,21.7,,,100.0,0.99,1.0,0.99,0.55,0.54,0.55,0.24,3.5,0.0,,0.35,0.45,200.0,0.0,,,,89.0,0.0,0.0,267.0,1069.0,16842.0,535.0,,267.0,267.0,49724.0,8556.0,77616.0,scripps_pier
SIO,32.867,-117.257,,20080721,2008-07-21T14:50:00Z,20.2,,,100.0,1.21,1.24,1.23,0.49,0.48,0.48,0.17,4.2,0.0,,0.55,0.34,200.0,0.0,,,,0.0,0.0,0.0,0.0,623.0,2050.0,267.0,,0.0,1248.0,21832.0,2585.0,28605.0,scripps_pier
SIO,32.867,-117.257,,20080728,2008-07-28T16:44:00Z,22.4,,,100.0,2.37,2.44,2.41,0.41,0.36,0.39,0.12,3.8,0.0,,0.62,0.29,200.0,0.0,,,,0.0,0.0,178.0,0.0,1069.0,5436.0,0.0,,0.0,356.0,21921.0,3387.0,32347.0,scripps_pier
SIO,32.867,-117.257,,20080804,2008-08-04T15:25:00Z,23.0,,,100.0,1.95,1.85,1.9,0.41,0.35,0.38,0.15,3.6,0.0,,0.46,0.34,200.0,0.0,,,,0.0,0.0,0.0,0.0,534.0,1337.0,0.0,,0.0,1604.0,14703.0,5347.0,23525.0,scripps_pier
SIO,32.867,-117.257,,20080811,2008-08-11T16:00:00Z,22.0,,,100.0,1.91,1.69,1.8,0.66,0.6,0.63,0.27,2.6,0.0,,0.8,0.32,200.0,0.0,,,,0.0,0.0,0.0,0.0,713.0,10515.0,2317.0,,0.0,446.0,175015.0,2673.0,191679.0,scripps_pier
SIO,32.867,-117.257,,20080818,2008-08-18T15:05:00Z,24.4,,,100.0,1.86,1.78,1.82,0.43,0.44,0.43,0.19,2.6,0.0,,0.0,0.0,200.0,0.0,,,,0.0,0.0,0.0,0.0,445.0,2941.0,535.0,,0.0,178.0,61843.0,4278.0,70220.0,scripps_pier
SIO,32.867,-117.257,,20080825,2008-08-25T15:05:00Z,19.7,,,100.0,1.73,1.72,1.72,0.44,0.49,0.47,0.27,3.4,0.01,,1.09,0.19,,,,,,0.0,0.0,0.0,0.0,178.0,178.0,0.0,,0.0,0.0,24506.0,624.0,25486.0,scripps_pier
SIO,32.867,-117.257,,20080902,2008-09-02T16:44:00Z,21.8,,,100.0,1.37,1.33,1.35,0.2,0.22,0.21,0.21,3.2,0.0,,1.01,0.26,200.0,0.0,,,,0.0,0.0,0.0,0.0,89.0,0.0,0.0,,0.0,89.0,5436.0,624.0,6238.0,scripps_pier
