id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
311160125,d459cdd1-85b2-46c8-b41c-2d07284b502e,2025/08/30 6:40 PM,2025-08-30,2025-08-31 01:40:00 UTC,Pacific Time (US & Canada),359639,kenk,Ken Koll,2025-09-03 01:41:30 UTC,2025-09-03 01:42:00 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/311160125,https://inaturalist-open-data.s3.amazonaws.com/photos/561676373/medium.jpg,,Phytoplankton Monitoring Network Site CA947,,0,0,False,,"Seabright, Santa Cruz, CA 95062, USA",36.96396,-122.00256,10.0,,,,10.0,,,False,,,Alexandrium,Alexandrium,,Chromista,203640
16301708,aebf148c-7aa1-41ef-92ce-e09b5b6cea71,Fri Sep 07 2018 14:44:36 GMT-0700 (PDT),2018-09-07,2018-09-07 21:44:36 UTC,Pacific Time (US & Canada),1192246,tatlokcheang,,2018-09-07 22:52:10 UTC,2018-09-07 22:52:53 UTC,needs_id,,https://www.inaturalist.org/observations/16301708,https://static.inaturalist.org/photos/24485790/medium.jpg,,,,0,0,False,3.0,"Jet Propulsion Laboratory, Pasadena, CA, US",34.2046643664,-118.1679682481,122.0,,,,122.0,,,False,,,,Gymnodinium,,Chromista,200879
100627286,ea75f609-b59a-44f8-89cc-0d3e6c7c71e5,2021/10/29 1:22 PM PDT,2021-10-29,2021-10-29 20:22:00 UTC,Pacific Time (US & Canada),34736,crb5,,2021-11-08 21:25:51 UTC,2024-09-27 05:06:49 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/100627286,https://inaturalist-open-data.s3.amazonaws.com/photos/167975294/medium.jpg,,,Possibly G. bifurcatum? Cell is 100 um long.,1,0,False,,"Santa Cruz, CA, USA",36.9584802756,-122.0182156969,15.0,,,,15.0,,,False,,,Gymnodinium bifurcatum,Gymnodinium bifurcatum,,Chromista,1578553
100627287,ad2239cf-20a3-4223-9527-f191e8f4a706,2021/08/06 1:22 PM PDT,2021-08-06,2021-08-06 20:22:00 UTC,Pacific Time (US & Canada),34736,crb5,,2021-11-08 21:25:51 UTC,2024-09-27 05:06:34 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/100627287,https://inaturalist-open-data.s3.amazonaws.com/photos/167975307/medium.jpg,,,Possibly G. bifurcatum. Cell is 100 um long,1,0,False,,"Santa Cruz County, US-CA, US",36.9584772752,-122.0182248165,2.0,,,,2.0,,,False,,,Gymnodinium bifurcatum,Gymnodinium bifurcatum,,Chromista,1578553
232779404,b2650e67-0fa7-40e8-be5d-4915eb1e6afc,2024-07-29 14:28:00-07:00,2024-07-29,2024-07-29 21:28:00 UTC,Pacific Time (US & Canada),10790,laiet17,,2024-07-30 21:49:11 UTC,2024-09-15 09:10:32 UTC,needs_id,,https://www.inaturalist.org/observations/232779404,https://inaturalist-open-data.s3.amazonaws.com/photos/413596449/medium.png,,microscopy,,0,0,False,,"San Diego County, CA, USA",32.890331894,-117.2542301928,31.0,,,,31.0,,,False,,,dinoflagellates,Gymnodinium,,Chromista,200879
269560279,038a2766-2c2c-480d-aa4b-981d64a671fa,2025/04/08 2:18 PM,2025-04-08,2025-04-08 21:18:00 UTC,Pacific Time (US & Canada),6460455,pyang211-2_aka_fishouttahwatah,,2025-04-10 02:21:32 UTC,2025-04-12 16:20:56 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/269560279,https://inaturalist-open-data.s3.amazonaws.com/photos/484684454/medium.png,,,,1,0,False,,"Moss Landing, CA 95039, USA",36.8048120034,-121.7866232286,2455.0,,,,2455.0,,,False,,,Gymnodinium,Gymnodinium,,Chromista,200879
294782575,3ad9f06b-5236-4b6a-8ec5-f437a1dc1a96,2025-07-02 21:24:49-07:00,2025-07-02,2025-07-03 04:24:49 UTC,Pacific Time (US & Canada),741586,goldenbeetle,Charlie Kozak Donald,2025-07-03 06:38:02 UTC,2025-07-03 06:38:07 UTC,needs_id,,https://www.inaturalist.org/observations/294782575,https://static.inaturalist.org/photos/530627907/medium.jpg,,,,0,0,False,3.0,"Lily Pond, San Francisco, CA, US",37.7708943574,-122.4620980152,25.0,,,,25.0,,,False,,,,Gymnodinium,,Chromista,200879
305621788,64268d53-de16-408d-a46c-ab2fe5655295,2025-08-10 17:03:38-07:00,2025-08-10,2025-08-11 00:03:38 UTC,Pacific Time (US & Canada),741586,goldenbeetle,Charlie Kozak Donald,2025-08-11 21:04:44 UTC,2025-08-11 21:04:48 UTC,needs_id,,https://www.inaturalist.org/observations/305621788,https://static.inaturalist.org/photos/551062332/medium.jpg,,,,0,0,False,3.0,"Lily Pond, San Francisco, CA, US",37.7709993186,-122.46210098,23.0,,,,23.0,,,False,,,,Gymnodinium,,Chromista,200879
336111414,1b68e45c-3bf5-4adb-aede-11aafa4077fa,2026-01-24 13:04:37,2026-01-24,2026-01-24 21:04:37 UTC,Pacific Time (US & Canada),1650502,iorek,Eric B,2026-01-25 17:10:50 UTC,2026-01-25 21:11:12 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/336111414,https://inaturalist-open-data.s3.amazonaws.com/photos/610724116/medium.jpg,,,,0,0,False,843.0,Princeton Harbor,37.502085,-122.48233,104.0,,,,104.0,,,False,,manual,Gymnodinium,Gymnodinium,,Chromista,200879
102306317,15ad347c-0c31-4fe6-a4c5-8abad97dda7b,2021/11/29 8:56 AM PST,2021-11-29,2021-11-29 16:56:00 UTC,Pacific Time (US & Canada),359639,kenk,Ken Koll,2021-12-01 17:02:20 UTC,2025-04-03 17:44:08 UTC,research,CC-BY,https://www.inaturalist.org/observations/102306317,https://inaturalist-open-data.s3.amazonaws.com/photos/170987798/medium.jpg,,Phytoplankton Monitoring Network Site CA947,This may be the first reported observation of K. bicuneiformis in California. Phytoplankton Monitoring Network requested samples for analysis.,1,0,False,,"Seabright, Santa Cruz, CA 95062, USA",36.96396,-122.00256,10.0,,,,10.0,,,False,,,Karenia bicuneiformis,Karenia bicuneiformis,,Chromista,470166
